Date,Date_Time,Total_Sleep,Deep_Sleep,Light_Sleep,REM_Time,Awake,Intensity,Steps,Stress,Elevation_Up,Elevation_Down
2023-02-19,1676761200.0,619,212,312,95,20,34,5764,22,23,15
2023-02-20,1676847600.0,283,60,146,77,1,139,13195,43,16,7
2023-02-21,1676934000.0,343,42,261,40,0,322,20568,46,28,18
2023-02-22,1677020400.0,374,37,261,76,0,273,19000,42,28,23
2023-02-23,1677106800.0,187,8,140,39,18,514,28139,50,60,49
2023-02-24,1677193200.0,324,27,273,24,0,141,16351,49,17,13
2023-02-25,1677279600.0,0,0,0,0,0,27,2276,18,8,7
2023-02-26,1677366000.0,537,82,418,37,5,0,3437,21,8,0
2023-02-27,1677452400.0,329,88,206,35,0,161,25827,43,40,43
2023-02-28,1677538800.0,278,45,227,6,0,65,18352,45,29,24
2023-03-01,1677625200.0,288,35,157,96,0,19,18429,33,15,9
2023-03-02,1677711600.0,333,43,225,65,0,290,19920,44,14,8
2023-03-03,1677798000.0,362,50,279,33,1,82,14465,33,20,12
2023-03-04,1677884400.0,581,76,347,158,0,242,1603,19,6,4
2023-03-05,1677970800.0,223,70,66,87,1,26,4710,27,15,12
2023-03-06,1678057200.0,334,77,209,48,0,404,14206,45,21,18
2023-03-07,1678143600.0,458,36,349,73,6,753,38501,40,110,121
2023-03-08,1678230000.0,0,0,0,0,0,312,20199,49,18,40
2023-03-09,1678316400.0,360,44,222,94,3,209,16240,43,22,16
2023-03-10,1678402800.0,354,7,246,101,1,199,22317,43,48,32
2023-03-11,1678489200.0,0,0,0,0,0,0,1393,26,8,2
2023-03-12,1678575600.0,655,75,485,95,38,54,4648,20,18,12
2023-03-13,1678662000.0,333,54,231,48,1,54,14751,35,16,12
2023-03-14,1678748400.0,406,34,296,76,0,138,15186,44,13,10
2023-03-15,1678834800.0,0,0,0,0,0,34,10132,30,10,5
2023-03-16,1678921200.0,235,55,158,22,0,102,12992,40,6,6
2023-03-17,1679007600.0,400,93,275,32,2,181,14390,39,35,17
2023-03-18,1679094000.0,531,89,261,181,2,15,3122,24,18,13
2023-03-19,1679180400.0,299,197,102,0,6,42,5185,34,16,8
2023-03-20,1679266800.0,293,11,209,73,1,1280,48382,45,52,52
2023-03-21,1679353200.0,216,28,178,10,69,836,32076,56,45,44
2023-03-22,1679439600.0,455,30,342,83,10,0,11681,37,10,9
2023-03-23,1679526000.0,336,34,214,88,4,20,12935,31,8,3
2023-03-24,1679612400.0,315,134,120,61,1,98,14898,39,15,6
2023-03-25,1679698800.0,257,54,170,33,0,146,22044,42,23,20
2023-03-26,1679785200.0,0,0,0,0,0,45,3191,55,11,4
2023-03-27,1679868000.0,309,18,227,64,3,0,16372,39,19,6
2023-03-28,1679954400.0,423,41,250,132,8,106,12368,45,12,8
2023-03-29,1680040800.0,340,33,269,38,33,19,1907,53,3,2
2023-03-30,1680127200.0,355,11,217,127,48,57,5339,53,7,4
2023-03-31,1680213600.0,358,0,264,94,0,0,7918,31,12,7
2023-04-01,1680300000.0,470,50,289,131,4,114,4480,24,15,10
2023-04-02,1680386400.0,549,39,339,171,2,0,3998,22,15,9
2023-04-03,1680472800.0,296,55,181,60,0,58,12107,36,39,23
2023-04-04,1680559200.0,348,26,285,37,0,67,16057,32,33,30
2023-04-05,1680645600.0,335,30,235,70,0,436,28772,38,17,15
2023-04-06,1680732000.0,416,73,269,74,0,84,9169,40,15,14
2023-04-07,1680818400.0,0,0,0,0,0,0,0,21,0,0
2023-04-08,1680904800.0,461,71,310,80,1,126,4328,22,17,18
2023-04-09,1680991200.0,0,0,0,0,0,0,0,-1,0,0
2023-04-10,1681077600.0,0,0,0,0,0,116,7522,44,31,18
2023-04-11,1681164000.0,308,14,203,91,0,94,7019,32,12,8
2023-04-12,1681250400.0,342,11,218,113,1,172,13136,32,24,14
2023-04-13,1681336800.0,356,54,222,80,1,73,10177,29,20,13
2023-04-14,1681423200.0,369,77,199,93,1,92,12835,25,34,25
2023-04-15,1681509600.0,0,0,0,0,0,0,0,-1,0,0
2023-04-16,1681596000.0,0,0,0,0,0,0,3807,40,10,5
2023-04-17,1681682400.0,306,33,247,26,1,0,12420,33,23,10
2023-04-18,1681768800.0,414,58,289,67,3,475,25759,48,42,27
2023-04-19,1681855200.0,333,45,205,83,1,169,20752,50,25,15
2023-04-20,1681941600.0,397,76,253,68,0,86,12786,41,17,8
2023-04-21,1682028000.0,351,47,237,67,1,18,5050,20,24,12
2023-04-22,1682114400.0,0,0,0,0,0,0,0,-1,0,0
2023-04-23,1682200800.0,0,0,0,0,0,17,2075,30,3,3
2023-04-24,1682287200.0,295,45,189,61,1,73,11330,37,28,28
2023-04-25,1682373600.0,365,54,220,91,0,238,19512,47,21,16
2023-04-26,1682460000.0,274,0,202,72,0,33,12184,47,14,12
2023-04-27,1682546400.0,368,23,209,136,0,132,10313,45,8,3
2023-04-28,1682632800.0,401,61,218,122,0,102,7917,30,17,17
2023-04-29,1682719200.0,0,0,0,0,0,0,0,-1,0,0
2023-04-30,1682805600.0,0,0,0,0,0,76,7636,54,12,10
2023-05-01,1682892000.0,393,2,299,92,2,73,12347,34,38,38
2023-05-02,1682978400.0,314,47,252,15,0,32,7418,32,33,22
2023-05-03,1683064800.0,330,47,239,44,72,160,12339,33,52,69
2023-05-04,1683151200.0,358,48,188,122,0,908,38502,36,392,127
2023-05-05,1683237600.0,414,61,276,77,12,43,10469,45,19,10
2023-05-06,1683324000.0,0,0,0,0,0,0,0,-1,0,0
2023-05-07,1683410400.0,0,0,0,0,0,0,2200,28,8,4
2023-05-08,1683496800.0,353,57,241,55,2,49,12160,36,3,5
2023-05-09,1683583200.0,435,69,273,93,0,58,12579,36,11,3
2023-05-10,1683669600.0,354,82,199,73,1,0,11771,36,23,14
2023-05-11,1683756000.0,372,51,235,86,0,50,14394,44,7,4
2023-05-12,1683842400.0,326,65,179,82,0,226,16159,46,11,23
2023-05-13,1683928800.0,530,87,295,148,1,0,254,18,0,0
2023-05-14,1684015200.0,0,0,0,0,0,179,3809,58,4,3
2023-05-15,1684101600.0,352,29,255,68,8,14,12471,31,14,8
2023-05-16,1684188000.0,410,86,227,97,1,77,8754,25,12,10
2023-05-17,1684274400.0,469,68,301,100,0,15,8509,26,14,18
2023-05-18,1684360800.0,377,49,305,23,119,0,4325,45,10,6
2023-05-19,1684447200.0,336,51,209,76,2,62,6952,37,13,10
2023-05-20,1684533600.0,0,0,0,0,0,0,0,96,0,0
2023-05-21,1684620000.0,0,0,0,0,0,0,0,-1,0,0
2023-05-22,1684706400.0,0,0,0,0,0,58,12135,47,21,20
2023-05-23,1684792800.0,432,76,292,64,34,0,16666,38,4,6
2023-05-24,1684879200.0,352,46,183,123,1,78,26320,25,11,8
2023-05-25,1684965600.0,390,53,273,64,0,32,15570,26,19,11
