,Aktuell,Ziel
02/28/2023,18352,6050
03/01/2023,18429,6050
03/02/2023,19920,6050
03/03/2023,14465,6050
03/04/2023,1603,6050
03/05/2023,4710,6050
03/06/2023,14206,6050
03/07/2023,38501,6050
03/08/2023,20199,6050
03/09/2023,16240,6050
03/10/2023,22317,6050
03/11/2023,1393,6050
03/12/2023,4648,6050
03/13/2023,14751,6050
03/14/2023,15186,6050
03/15/2023,10132,6050
03/16/2023,12992,6050
03/17/2023,14390,6050
03/18/2023,3122,6050
03/19/2023,5185,6050
03/20/2023,48382,6050
03/21/2023,32076,6050
03/22/2023,11681,6050
03/23/2023,12935,6050
03/24/2023,14898,6050
03/25/2023,22044,6050
03/26/2023,3191,6050
03/27/2023,16372,6050
