,Aktuell,Ziel
04/25/2023,19512,6050
04/26/2023,12184,6050
04/27/2023,10313,6050
04/28/2023,7917,6050
04/29/2023,0,6050
04/30/2023,7636,6050
05/01/2023,12347,6050
05/02/2023,7418,6050
05/03/2023,12339,6050
05/04/2023,38502,6050
05/05/2023,10469,6050
05/06/2023,0,6050
05/07/2023,2200,6050
05/08/2023,12160,6050
05/09/2023,12579,6050
05/10/2023,11771,6050
05/11/2023,14394,6050
05/12/2023,16159,6050
05/13/2023,254,6050
05/14/2023,3809,6050
05/15/2023,12471,6050
05/16/2023,8754,6050
05/17/2023,8509,6050
05/18/2023,4325,6050
05/19/2023,6952,6050
05/20/2023,0,6050
05/21/2023,0,6050
05/22/2023,12135,6050
